,anammox_inhibition_factor,cod_anaerobic_digestion_inhibition_factor,Ammonia_OUT,Nitrite_OUT,Nitrate_OUT
35,0.05,0.6,0.3525452510956978,0.8624777284294732,0.8635406580614001
36,0.05,0.7,0.348105338328373,0.8663679442763195,0.9267629918196586
37,0.05,0.8,0.34432810425714605,0.869716441354586,0.9828705217647097
38,0.05,0.9,0.3410762690705417,0.8726284609213025,1.0329248245512892
39,0.05,1.0,0.33824790048164066,0.8751837180679506,1.0778079343166735
40,0.1,0.0,0.3304773258360077,0.7470444602744973,0.23151508834440757
41,0.1,0.01,0.3286384754478443,0.7483433173879992,0.2430519640660941
42,0.1,0.02,0.3268651891439393,0.7496025241609778,0.25469304701190504
43,0.1,0.03,0.32515389364807334,0.750823992650336,0.2664084265143367
44,0.1,0.04,0.3235012837048782,0.7520095013197043,0.2781718145572053
45,0.1,0.05,0.32190429586145325,0.753160708019868,0.28996011352998485
46,0.1,0.06,0.32036008547896383,0.7542791612848769,0.3017530392496615
47,0.1,0.07,0.3188660064876149,0.7553663102209184,0.31353279157251157
48,0.1,0.08,0.31741959348549365,0.7564235132102739,0.3252837660736934
49,0.1,0.09,0.31601854585088873,0.7574520456103375,0.3369923012415653
50,0.1,0.1,0.3146607135927141,0.7584531065946537,0.34864645644769243
51,0.1,0.2,0.3030720756962999,0.7671726951491039,0.4604702909078694
52,0.1,0.3,0.29419832281876446,0.77407280815554,0.5611937828823541
53,0.1,0.4,0.28717925349806483,0.779676358997786,0.6502569083915297
54,0.1,0.5,0.2814859520429152,0.7843205868947476,0.7286607080180231
55,0.1,0.6,0.2767741531676654,0.7882339713980043,0.7977674854583413
56,0.1,0.7,0.2728097112198157,0.7915772602654604,0.8589031443167708
57,0.1,0.8,0.26942766111797434,0.7944670275444919,0.9132381953566943
58,0.1,0.9,0.266508351481206,0.7969899599464744,0.961767763236308
59,0.1,1.0,0.2639628510202123,0.7992119016042726,1.0053252470679244
60,0.15,0.0,0.26974003960311344,0.6886320077865024,0.20092581670543538
61,0.15,0.01,0.26817328351892394,0.6896929383461162,0.21124322283917327
62,0.15,0.02,0.2666639285101666,0.6907204235093908,0.2217124070665283
63,0.15,0.03,0.2652087455618401,0.691716151100398,0.23230022034696785
